2014-01-02,08:45,TX,201401,8644.0,662
2014-01-03,08:45,TX,201401,8595.0,1038
2014-01-06,08:45,TX,201401,8539.0,684
2014-01-07,08:45,TX,201401,8528.0,434
2014-01-08,08:45,TX,201401,8556.0,614
2014-01-09,08:45,TX,201401,8565.0,678
2014-01-10,08:45,TX,201401,8523.0,614
2014-01-13,08:45,TX,201401,8598.0,1086
2014-01-14,08:45,TX,201401,8530.0,1046
2014-01-15,08:45,TX,201401,8570.0,570
2014-01-16,08:45,TX,201402,8650.0,1390
2014-01-17,08:45,TX,201402,8610.0,638
2014-01-20,08:45,TX,201402,8585.0,936
2014-01-21,08:45,TX,201402,8642.0,676
2014-01-22,08:45,TX,201402,8595.0,1176
2014-01-23,08:45,TX,201402,8646.0,748
2014-01-24,08:45,TX,201402,8570.0,1344
2014-01-27,08:45,TX,201402,8510.0,2844
2014-02-05,08:45,TX,201402,8302.0,2260
2014-02-06,08:45,TX,201402,8278.0,1108
2014-02-07,08:45,TX,201402,8327.0,1056
2014-02-10,08:45,TX,201402,8375.0,1212
2014-02-11,08:45,TX,201402,8354.0,720
2014-02-12,08:45,TX,201402,8447.0,1242
2014-02-13,08:45,TX,201402,8495.0,608
2014-02-14,08:45,TX,201402,8496.0,1458
2014-02-17,08:45,TX,201402,8547.0,810
2014-02-18,08:45,TX,201402,8530.0,390
2014-02-19,08:45,TX,201402,8535.0,472
2014-02-20,08:45,TX,201403,8530.0,1022
2014-02-21,08:45,TX,201403,8555.0,2440
2014-02-24,08:45,TX,201403,8591.0,748
2014-02-25,08:45,TX,201403,8603.0,2508
2014-02-26,08:45,TX,201403,8565.0,648
2014-02-27,08:45,TX,201403,8609.0,558
2014-03-03,08:45,TX,201403,8559.0,1590
2014-03-04,08:45,TX,201403,8560.0,1034
2014-03-05,08:45,TX,201403,8640.0,3012
2014-03-06,08:45,TX,201403,8623.0,570
2014-03-07,08:45,TX,201403,8730.0,1458
2014-03-10,08:45,TX,201403,8673.0,936
2014-03-11,08:45,TX,201403,8690.0,906
